Ticker,Report Date,SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Zombie Indicator
CFLT,2020-12-31,1334959,USD,2020,FY,2021-02-05,2022-02-24,272890829.0,272890829.0,236577000.0,-75476000.0,161101000.0,-394276000.0,-288877000.0,-105399000.0,,-233175000,3140000.0,4113000.0,-230035000,,-230035000,207000.0,-229828000,,-229828000,-229828000,-56.692195477753465
CFMS,2016-12-31,613117,USD,2016,FY,2017-03-08,2019-03-13,1660865.0,1660865.0,79899000.0,-53192000.0,26707000.0,-82851000.0,-66243000.0,-16608000.0,,-56144000,-1381000.0,349000.0,-57525000,,-57525000,-63000.0,-57588000,,-57588000,-57588000,-160.87106017191977
CFRX,2016-12-31,1841922,USD,2016,FY,2017-03-15,2019-03-14,39332721.0,39332721.0,,,,-33532246.0,-11430526.0,-22101720.0,,-33532246,-1352725.0,216616.0,-34884971,6346572.0,-28538399,,-28538399,,-28538399,-28538399,-154.80041178860287
CFRX,2017-12-31,1841922,USD,2017,FY,2018-03-15,2020-03-18,39332721.0,39332721.0,,,,-26563757.0,-9249671.0,-17314086.0,,-26563757,-486879.0,418135.0,-27050636,11532978.0,-15517658,,-15517658,,-15517658,-15517658,-63.529140110251475
CFRX,2018-12-31,1841922,USD,2018,FY,2019-03-14,2021-03-30,39332721.0,39332721.0,,,,-31124425.0,-8707774.0,-22416651.0,,-31124425,672227.0,672227.0,-30452198,-7232226.0,-37684424,,-37684424,,-37684424,-37684424,-46.30046844295156
CFRX,2019-12-31,1841922,USD,2019,FY,2020-03-18,2022-03-25,39332721.0,39332721.0,,,,-27866000.0,-9809000.0,-18057000.0,,-27866000,359000.0,359000.0,-27507000,14713000.0,-12794000,,-12794000,,-12794000,-12794000,-77.62116991643454
CFRX,2020-12-31,1841922,USD,2020,FY,2021-03-30,2022-03-25,39332721.0,39332721.0,,,,-34239000.0,-11625000.0,-22614000.0,,-34239000,-1973000.0,192000.0,-36212000,8056000.0,-28156000,,-28156000,,-28156000,-28156000,-178.328125
CGEM,2019-12-31,1841135,USD,2019,FY,2020-03-29,2021-03-30,45611000.0,45611000.0,,,,-22270000.0,-5482000.0,-16788000.0,,-22270000,616000.0,620000.0,-21654000,,-21654000,,-21654000,,-20657000,-20657000,-35.91935483870968
CGEM,2020-12-31,1841135,USD,2020,FY,2021-02-09,2022-03-17,45611000.0,45611000.0,,,,-60335000.0,-17124000.0,-43211000.0,,-60335000,877000.0,888000.0,-59458000,,-59458000,,-59458000,,-51799000,-51799000,-67.94481981981981
CHWY,2020-01-31,951287,USD,2019,FY,2020-04-02,2022-03-29,398256000.0,398256000.0,4846743000.0,-3702683000.0,1144060000.0,-1396786000.0,-1396786000.0,,,-252726000,356000.0,356000.0,-252370000,,-252370000,,-252370000,,-252370000,-252370000,-709.9044943820224
CLDR,2017-01-31,890662,USD,2016,FY,2017-03-10,2019-03-29,36406000.0,36406000.0,272543000.0,-86988000.0,185555000.0,-343637000.0,-241328000.0,-102309000.0,,-158082000,1884000.0,2431000.0,-156198000,,-156198000,-2187000.0,-158385000,,-158385000,-158385000,-65.0275606746195
CLDR,2018-01-31,890662,USD,2017,FY,2018-04-04,2019-03-29,114141000.0,114141000.0,372293000.0,-158035000.0,214258000.0,-588430000.0,-372735000.0,-215695000.0,,-374172000,6579000.0,5150000.0,-367593000,,-367593000,-2079000.0,-369672000,,-369672000,-369672000,-72.6547572815534
CLDR,2019-01-31,890662,USD,2018,FY,2019-03-29,2021-03-25,159816000.0,159816000.0,479941000.0,-136114000.0,343827000.0,-537591000.0,-363777000.0,-173814000.0,,-193764000,6533000.0,9011000.0,-187231000,,-187231000,-5418000.0,-192649000,,-192649000,-192649000,-21.503051825546553
CLDR,2020-01-31,890662,USD,2019,FY,2020-11-06,2021-03-25,280772000.0,280772000.0,794191000.0,-232502000.0,561689000.0,-901443000.0,-637877000.0,-263566000.0,,-339754000,11872000.0,11687000.0,-327882000,,-327882000,-8700000.0,-336582000,,-336582000,-336582000,-29.071104646188072
CLDR,2021-01-31,890662,USD,2020,FY,2021-03-25,2021-03-25,302522000.0,302522000.0,869258000.0,-189188000.0,680070000.0,-836335000.0,-591828000.0,-244507000.0,,-156265000,877000.0,3994000.0,-155388000,,-155388000,-7346000.0,-162734000,,-162734000,-162734000,-39.12493740610916
CLRB,2016-12-31,99062,USD,2016,FY,2017-03-15,2018-03-21,45366.0,45366.0,,,,-9449752.0,-4699338.0,-4750414.0,,-9449752,7897.0,7897.0,-9441855,3261529.0,-6180326,,-6180326,,-6180326,-9360307,-1196.6255540078512
CLRB,2017-12-31,99062,USD,2017,FY,2018-03-21,2018-03-21,140313.0,140313.0,,,,-13600970.0,-4135304.0,-9465666.0,,-13600970,16605.0,16605.0,-13584365,22075.0,-13562290,,-13562290,,-13562290,-15011235,-819.0888286660644
CLRB,2018-12-31,99062,USD,2018,FY,2019-02-26,2019-02-26,296197.0,296197.0,,,,-11655302.0,-4820073.0,-6835229.0,,-11655302,29687.0,29687.0,-11625615,-1613412.0,-13239027,,-13239027,,-13239027,-15480822,-392.6062586317243
CLRB,2019-12-31,99062,USD,2019,FY,2020-03-09,2021-03-02,767509.0,767509.0,,,,-14178624.0,-5182566.0,-8996058.0,,-14178624,42712.0,42712.0,-14135912,43000.0,-14092912,,-14092912,,-14092912,-14092912,-331.958793781607
CLRB,2020-12-31,99062,USD,2020,FY,2021-03-02,2022-03-21,1981266.0,1981266.0,,,,-15290349.0,-5149668.0,-10140681.0,,-15290349,10897.0,10897.0,-15279452,185280.0,-15094172,,-15094172,,-15094172,-15094172,-1403.1705056437552
CMBG,2016-12-31,778513,USD,2016,FY,2017-03-14,2019-02-19,13507408.0,13507408.0,627930.0,-860417.0,-232487.0,-23571133.0,-12095546.0,-11475587.0,,-23803620,211051.0,78943.0,-23592569,-4611714.0,-28204283,-4093.0,-28208376,,-28208376,-28208376,-301.52920461598876
CMBG,2017-12-31,778513,USD,2017,FY,2018-03-05,2019-02-19,14345604.0,14345604.0,336817.0,-162218.0,174599.0,-27751166.0,-13141249.0,-14609917.0,,-27576567,2088707.0,133621.0,-25487860,0.0,-25487860,-2450.0,-25490310,,-25490310,-25490310,-206.378989829443
CMBG,2018-12-31,778513,USD,2018,FY,2019-02-19,2019-02-19,17741104.0,17741104.0,224403.0,-135761.0,88642.0,-37680067.0,-13529587.0,-24150480.0,,-37591425,1565207.0,392328.0,-36026218,-2914320.0,-38940538,-4954.0,-38945492,,-38945492,-38945492,-95.81631950816664
CMBG,2019-12-31,778513,USD,2019,FY,2020-02-28,2020-02-28,18983206.0,18983206.0,339920.0,-62378.0,277542.0,-51269726.0,-13599748.0,-37669978.0,,-50992184,1009175.0,809785.0,-49983009,0.0,-49983009,-1045.0,-49984054,,-49984054,-49984054,-62.970027846897636
COGT,2017-12-31,808945,USD,2017,FY,2018-02-13,2019-03-28,2547952.0,2547952.0,8360000.0,,,-34512000.0,-4680000.0,-29832000.0,,-26152000,660000.0,386000.0,-25492000,,-25492000,,-25492000,,-25492000,-25557000,-67.75129533678756
COGT,2018-12-31,808945,USD,2018,FY,2019-03-28,2019-03-28,6223918.0,6223918.0,9734000.0,,,-45739000.0,-7454000.0,-38285000.0,,-36005000,1473000.0,1153000.0,-34532000,,-34532000,,-34532000,,-34532000,-34548000,-31.227233304423244
COGT,2019-12-31,808945,USD,2019,FY,2020-03-26,2021-03-16,7620083.0,7620083.0,22499000.0,,,-54677000.0,-10968000.0,-43709000.0,,-32178000,267000.0,267000.0,-31911000,78000.0,-31833000,,-31833000,,-31833000,-31833000,-120.51685393258427
COGT,2020-12-31,808945,USD,2020,FY,2021-03-16,2022-03-15,11081257.0,11081257.0,7871000.0,,,-43160000.0,-17422000.0,-25738000.0,,-35289000,923000.0,144000.0,-34366000,-40442000.0,-74808000,,-74808000,,-74808000,-74808000,-245.0625
CRBU,2020-12-31,1253332,USD,2020,FY,2021-03-05,2022-03-21,8470019.0,8470019.0,,,,-36124000.0,-1699000.0,-34425000.0,,-36124000,730000.0,216000.0,-35394000,-733000.0,-36127000,1819000.0,-34308000,,-34308000,-34308000,-167.24074074074073
CRDF,2018-12-31,798464,USD,2018,FY,2019-03-06,2019-03-06,2330180.0,2330180.0,378325.0,-597457.0,-219132.0,-16169594.0,-8005583.0,-8164011.0,,-16388726,-42812.0,194021.0,-16431538,-29640.0,-16461178,,-16461178,,-16461178,-19254951,-84.46882553950346
CRDF,2019-12-31,798464,USD,2019,FY,2020-02-27,2021-02-25,5973906.0,5973906.0,244632.0,,,-16923126.0,-5760890.0,-11162236.0,,-16678494,236147.0,234169.0,-16442347,28188.0,-16414159,,-16414159,,-16414159,-16706668,-71.22417570216382
CRDF,2020-12-31,798464,USD,2020,FY,2021-02-25,2022-02-24,20874665.0,20874665.0,366000.0,,,-19452000.0,-8217000.0,-11235000.0,,-19086000,60000.0,88000.0,-19026000,-281000.0,-19307000,,-19307000,,-19307000,-22598000,-216.88636363636363
CRIS,2020-12-31,168118,USD,2020,FY,2021-03-16,2022-02-24,48670381.0,48670381.0,10835000.0,-534000.0,10301000.0,-35199000.0,-12131000.0,-23068000.0,,-24898000,85000.0,63000.0,-24813000,-5095000.0,-29908000,,-29908000,,-29908000,-29908000,-395.2063492063492
CRVS,2016-12-31,808943,USD,2016,FY,2017-04-03,2018-03-01,15422041.0,15422041.0,,,,-36976000.0,-7620000.0,-29356000.0,,-36976000,601000.0,601000.0,-36375000,,-36375000,,-36375000,,-36375000,-36375000,-61.524126455906824
CRVS,2017-12-31,808943,USD,2017,FY,2018-08-17,2018-08-17,20488506.0,20488506.0,,,,-56524000.0,-10219000.0,-46305000.0,,-56524000,861000.0,861000.0,-55663000,,-55663000,,-55663000,,-55663000,-55663000,-65.6492450638792
CRVS,2018-12-31,808943,USD,2018,FY,2019-03-07,2021-03-25,27509960.0,27509960.0,,,,-49222000.0,-10636000.0,-38586000.0,,-49222000,2283000.0,2283000.0,-46939000,,-46939000,,-46939000,,-46939000,-46939000,-21.560227770477443
CTIC,2018-12-31,809274,USD,2018,FY,2019-03-13,2019-03-13,56073000.0,56073000.0,26290000.0,-879000.0,25411000.0,-57650000.0,-21183000.0,-36467000.0,,-32239000,3547000.0,10000.0,-28692000,-660000.0,-29352000,,-29352000,,-29320000,-29400000,-3223.9
CTIC,2019-12-31,809274,USD,2019,FY,2020-03-13,2021-03-17,57974000.0,57974000.0,3345000.0,,,-43262000.0,-19155000.0,-24107000.0,,-39917000,-111000.0,170000.0,-40028000,5000.0,-40023000,,-40023000,,-40020000,-40020000,-234.80588235294118
CTMX,2016-12-31,789985,USD,2016,FY,2017-03-02,2019-02-27,36234732.0,36234732.0,15043000.0,,,-74629000.0,-19874000.0,-54755000.0,,-59586000,667000.0,736000.0,-58919000,,-58919000,19000.0,-58900000,,-58900000,-58900000,-80.95923913043478
CTMX,2017-12-31,789985,USD,2017,FY,2018-03-07,2020-02-27,37166830.0,37166830.0,71623000.0,,,-117882000.0,-25605000.0,-92277000.0,,-46259000,2647000.0,2674000.0,-43612000,,-43612000,513000.0,-43099000,,-43099000,-43099000,-17.299551234106207
CTMX,2018-12-31,789985,USD,2018,FY,2019-02-27,2021-02-24,41664382.0,41664382.0,59502000.0,,,-137376000.0,-33510000.0,-103866000.0,,-77874000,7573000.0,7641000.0,-70301000,,-70301000,-14303000.0,-84604000,,-84604000,-84604000,-10.191597958382411
CTMX,2019-12-31,789985,USD,2019,FY,2020-02-27,2022-03-01,45335927.0,45335927.0,57489000.0,,,-168384000.0,-36765000.0,-131619000.0,,-110895000,8230000.0,8365000.0,-102665000,,-102665000,427000.0,-102238000,,-102238000,-102238000,-13.257023311416617
CTMX,2020-12-31,789985,USD,2020,FY,2021-02-24,2022-03-01,46145563.0,46145563.0,100362000.0,,,-148967000.0,-36031000.0,-112936000.0,,-48605000,1809000.0,1836000.0,-46796000,,-46796000,13911000.0,-32885000,,-32885000,-32885000,-26.473311546840957
CTXR,2019-09-30,998532,USD,2019,FY,2019-12-16,2020-12-16,20161854.0,20161854.0,,,,-15598361.0,-7001463.0,-8596898.0,,-15598361,36217.0,36217.0,-15562144,,-15562144,,-15562144,,-15562144,-15562144,-430.69169174696964
CTXR,2020-09-30,998532,USD,2020,FY,2020-12-16,2021-12-15,39165248.0,39165248.0,,,,-17710685.0,-8897875.0,-8812810.0,,-17710685,162600.0,52393.0,-17548085,,-17548085,,-17548085,,-17548085,-17548085,-338.03532914702345
CTXR,2021-09-30,998532,USD,2021,FY,2021-12-15,2022-12-22,96002039.0,96002039.0,,,,-23531894.0,-11291391.0,-12240503.0,,-23531894,310903.0,250986.0,-23220991,166557.0,-23054434,,-23054434,,-23054434,-24505310,-93.75779525551226
CVLT,2017-03-31,1067483,USD,2016,FY,2017-05-05,2019-05-02,44700000.0,44700000.0,645005000.0,-85192000.0,559813000.0,-561055000.0,-472862000.0,-79558000.0,-8635000.0,-1242000,-752000.0,206000.0,-1994000,,-1994000,1486000.0,-508000,,-508000,-508000,-6.029126213592233
CVLT,2018-03-31,1067483,USD,2017,FY,2018-05-03,2020-05-15,45242000.0,45242000.0,699393000.0,-98152000.0,601241000.0,-602187000.0,-501436000.0,-91030000.0,-9721000.0,-946000,-2554000.0,1067000.0,-3500000,,-3500000,-58400000.0,-61900000,,-61900000,-61900000,-0.8865979381443299
CVLT,2020-03-31,1067483,USD,2019,FY,2020-05-15,2022-05-06,45793000.0,45793000.0,670885000.0,-117078000.0,553807000.0,-553750000.0,-427915000.0,-110020000.0,-15815000.0,57000,4962000.0,4962000.0,5019000,-17565000.0,-12546000,6901000.0,-5645000,,-5645000,-5645000,0.011487303506650543
CVSI,2019-12-31,150939,USD,2019,FY,2020-03-30,2021-03-19,97861000.0,97861000.0,53696000.0,-18608000.0,35088000.0,-52328000.0,-46451000.0,-5877000.0,,-17240000,15000.0,15000.0,-17225000,,-17225000,615000.0,-16610000,,-16610000,-16610000,-1149.3333333333333
CYCC,2016-12-31,899362,USD,2016,FY,2017-03-31,2018-03-30,171249.0,171249.0,843000.0,,,-14993000.0,-5516000.0,-9477000.0,,-14150000,376000.0,37000.0,-13774000,,-13774000,1983000.0,-11791000,,-11791000,-11991000,-382.43243243243245
CYCC,2017-12-31,899362,USD,2017,FY,2018-03-30,2019-03-28,381558.0,381558.0,0.0,,,-9491000.0,-5254000.0,-4237000.0,,-9491000,1028000.0,118000.0,-8463000,,-8463000,993000.0,-7470000,,-7470000,-14846000,-80.4322033898305
CYCC,2018-12-31,899362,USD,2018,FY,2019-03-28,2019-03-28,604707.0,604707.0,150000.0,,,-9698000.0,-5371000.0,-4327000.0,,-9548000,923000.0,331000.0,-8625000,,-8625000,1337000.0,-7288000,,-7288000,-7489000,-28.845921450151057
CYCC,2019-12-31,899362,USD,2019,FY,2020-03-05,2021-03-01,816087.0,816087.0,,,,-9682000.0,-5024000.0,-4658000.0,,-9682000,556000.0,224000.0,-9126000,,-9126000,1296000.0,-7830000,,-7830000,-8031000,-43.223214285714285
CYCC,2020-12-31,899362,USD,2020,FY,2021-03-01,2022-03-30,3633385.0,3633385.0,,,,-10636000.0,-5877000.0,-4759000.0,,-10636000,955000.0,42000.0,-9681000,,-9681000,1236000.0,-8445000,,-8445000,-12421000,-253.23809523809524
DASH,2019-12-31,1200821,USD,2019,FY,2020-03-04,2022-03-01,43252000.0,43252000.0,885000000.0,-523000000.0,362000000.0,-978000000.0,-839000000.0,-107000000.0,-32000000.0,-616000000,-50000000.0,18000000.0,-666000000,,-666000000,-1000000.0,-667000000,,-667000000,-668000000,-34.22222222222222
DBTX,2019-12-31,1866071,USD,2019,FY,2020-03-28,2021-03-29,24955165.0,24955165.0,,,,-44081000.0,-14676000.0,-29405000.0,,-44081000,1409000.0,1409000.0,-42672000,,-42672000,,-42672000,,-42672000,-53697000,-31.285308729595457
DBTX,2020-12-31,1866071,USD,2020,FY,2021-02-10,2022-03-18,24955165.0,24955165.0,,,,-39563000.0,-14241000.0,-25322000.0,,-39563000,226000.0,55000.0,-39337000,,-39337000,,-39337000,,-39337000,7075000,-719.3272727272728
DBX,2018-12-31,808182,USD,2018,FY,2019-02-25,2019-02-25,358600000.0,358600000.0,1391700000.0,-394700000.0,997000000.0,-1491000000.0,-722800000.0,-768200000.0,,-494000000,13900000.0,7100000.0,-480100000,,-480100000,-4800000.0,-484900000,,-484900000,-484900000,-69.5774647887324
DBX,2019-12-31,808182,USD,2019,FY,2020-02-21,2022-02-18,411600000.0,411600000.0,1661300000.0,-411000000.0,1250300000.0,-1330800000.0,-668700000.0,-662100000.0,,-80500000,28500000.0,12500000.0,-52000000,,-52000000,-700000.0,-52700000,,-52700000,-52700000,-6.44
DKNG,2019-12-31,1085359,USD,2019,FY,2020-02-26,2022-02-18,40000000.0,40000000.0,323410000.0,-103889000.0,219521000.0,-366066000.0,-310137000.0,-55929000.0,,-146545000,4348000.0,1348000.0,-142197000,,-142197000,-58000.0,-142734000,,-142734000,-142734000,-108.71290801186943
DMTK,2020-12-31,1253392,USD,2020,FY,2021-03-05,2022-03-10,16069989.0,16069989.0,5885000.0,-5981000.0,-96000.0,-35193000.0,-29900000.0,-5293000.0,,-35289000,40000.0,40000.0,-35249000,-1228000.0,-36477000,,-36477000,,-36477000,-36477000,-882.225
DRQ,2018-12-31,113753,USD,2018,FY,2019-02-27,2021-02-25,37075000.0,37075000.0,384626000.0,-293573000.0,91053000.0,-102097000.0,-102097000.0,,,-11044000,8756000.0,7749000.0,-2288000,-112701000.0,-114989000,19294000.0,-95695000,,-95695000,-95695000,-1.425216156923474
DRQ,2020-12-31,113753,USD,2020,FY,2021-02-25,2022-02-23,35260000.0,35260000.0,364973000.0,-269698000.0,95275000.0,-95057000.0,-95057000.0,,,218000,-835000.0,1510000.0,-617000,-61432000.0,-62049000,31281000.0,-30768000,,-30768000,-30768000,0.14437086092715232
DS,2016-12-31,816790,USD,2016,FY,2017-02-01,2019-03-15,66709925.0,68788440.0,298880000.0,-260614000.0,38266000.0,-66374000.0,-29174000.0,,-26496000.0,-28108000,34569000.0,38423000.0,6461000,71064000.0,77525000,-189000.0,77336000,,77079000,71499000,-0.7315410040860942
DS,2017-12-31,816790,USD,2017,FY,2018-03-14,2020-03-06,66903457.0,66903457.0,292594000.0,-253755000.0,38839000.0,-77447000.0,-31413000.0,,-24304000.0,-38608000,3675000.0,3581000.0,-34933000,-6303000.0,-41236000,-965000.0,-42201000,,-42201000,-47781000,-10.781345992739459
DTIL,2018-12-31,1078151,USD,2018,FY,2019-01-29,2020-03-10,15775541.0,15775541.0,10883000.0,,,-58795000.0,-13673000.0,-45122000.0,,-47912000,1875000.0,1875000.0,-46037000,,-46037000,,-46037000,,-46037000,-46037000,-25.553066666666666
DTIL,2019-12-31,1078151,USD,2019,FY,2020-03-10,2021-03-18,41991162.0,41991162.0,22238000.0,,,-109442000.0,-27026000.0,-82416000.0,,-87204000,4085000.0,4085000.0,-83119000,-9758000.0,-92877000,,-92877000,,-92877000,-92877000,-21.347368421052632
DTIL,2020-12-31,1078151,USD,2020,FY,2021-03-18,2022-03-15,52031740.0,52031740.0,24285000.0,,,-134113000.0,-36052000.0,-98061000.0,,-109828000,822000.0,822000.0,-109006000,,-109006000,,-109006000,,-109006000,-109006000,-133.61070559610707
DVAX,2016-12-31,138695,USD,2016,FY,2017-03-13,2019-02-27,38506000.0,38506000.0,11043000.0,,,-121750000.0,-37257000.0,-84493000.0,,-110707000,-1737000.0,755000.0,-112444000,,-112444000,,-112444000,,-112444000,-112444000,-146.6317880794702
DVAX,2017-12-31,138695,USD,2017,FY,2018-03-08,2019-02-27,52613000.0,52613000.0,327000.0,-1194000.0,-867000.0,-92355000.0,-27367000.0,-64988000.0,,-93222000,851000.0,1337000.0,-92371000,-2783000.0,-95154000,,-95154000,,-95154000,-95154000,-69.7247569184742
DYN,2019-12-31,1154967,USD,2019,FY,2020-02-05,2021-03-04,2442872.0,2442872.0,,,,-13826000.0,-2786000.0,-11040000.0,,-13826000,290000.0,290000.0,-13536000,-1323000.0,-14859000,,-14859000,,-14859000,-14859000,-47.675862068965515
ECYT,2016-12-31,760760,USD,2016,FY,2017-03-13,2018-02-27,42210643.0,42210643.0,70000.0,,,-44790324.0,-17298139.0,-27492185.0,,-44720324,832751.0,861212.0,-43887573,0.0,-43887573,,-43887573,,-43887573,-43887573,-51.92719562662852
ECYT,2017-12-31,760760,USD,2017,FY,2018-02-27,2018-02-27,43900257.0,43900257.0,70000.0,,,-39636698.0,-13769853.0,-25866845.0,,-39566698,1041895.0,1029497.0,-38524803,-16539347.0,-55064150,,-55064150,,-55064150,-55064150,-38.43303865868477
EDIT,2016-12-31,1253292,USD,2016,FY,2017-03-03,2019-03-01,32219717.0,32219717.0,6053000.0,,,-103241000.0,-46262000.0,-56979000.0,,-97188000,5000.0,62000.0,-97183000,,-97183000,,-97183000,,-97183000,-97230000,-1567.5483870967741
EDIT,2018-12-31,1253292,USD,2018,FY,2019-03-01,2021-02-26,47097735.0,47097735.0,31937000.0,,,-145664000.0,-55010000.0,-90654000.0,,-113727000,3773000.0,3445000.0,-109954000,,-109954000,,-109954000,,-109954000,-109954000,-33.012191582002906
EDIT,2019-12-31,1253292,USD,2019,FY,2020-02-26,2022-02-24,49983329.0,49983329.0,20531000.0,,,-161453000.0,-64555000.0,-96898000.0,,-140922000,7176000.0,7313000.0,-133746000,,-133746000,,-133746000,,-133746000,-133746000,-19.27006700396554
EDIT,2020-12-31,1253292,USD,2020,FY,2021-02-26,2022-02-24,58609389.0,58609389.0,90732000.0,,,-225572000.0,-67576000.0,-157996000.0,,-134840000,18864000.0,2605000.0,-115976000,,-115976000,,-115976000,,-115976000,-115976000,-51.76199616122841
EEI,2018-07-31,55609,USD,2018,FY,2018-11-28,2019-05-31,4304574.0,4304574.0,90684000.0,-51046000.0,39638000.0,-40340000.0,-39257000.0,,-1083000.0,-702000,856000.0,114000.0,154000,0.0,154000,-258000.0,-104000,,-308000,-308000,-6.157894736842105
EEI,2019-07-31,55609,USD,2019,FY,2019-10-29,2019-10-29,4316316.0,4316316.0,88510000.0,-50087000.0,38423000.0,-39842000.0,-38820000.0,,-1022000.0,-1419000,645000.0,237000.0,-774000,0.0,-774000,664000.0,-110000,,-554000,-554000,-5.987341772151899
ENG,2016-12-31,58098,USD,2016,FY,2017-03-10,2017-03-10,27653000.0,27653000.0,59224000.0,-49112000.0,10112000.0,-13350000.0,-13350000.0,,,-3238000,-131000.0,42000.0,-3369000,,-3369000,1027000.0,-2342000,,-2342000,-2342000,-77.0952380952381
ENG,2017-12-31,58098,USD,2017,FY,2018-03-15,2018-03-15,27352000.0,27352000.0,55765000.0,-49327000.0,6438000.0,-12581000.0,-12581000.0,,,-6143000,-28000.0,76000.0,-6171000,,-6171000,-10087000.0,-16258000,,-16258000,-16258000,-80.82894736842105
ENZ,2017-07-31,50379,USD,2017,FY,2017-09-27,2018-10-15,46350000.0,46350000.0,107804000.0,-59478000.0,48326000.0,-49795000.0,-44092000.0,-2928000.0,,-1469000,644000.0,384000.0,-825000,-1679000.0,-2504000,,-2504000,,-2504000,-2504000,-3.8255208333333335
ENZ,2018-07-31,50379,USD,2018,FY,2018-10-15,2020-10-19,46972000.0,46972000.0,101013000.0,-60385000.0,40628000.0,-47665000.0,-44455000.0,-3210000.0,,-7037000,746000.0,853000.0,-6291000,-5127000.0,-11418000,1097000.0,-10321000,,-10321000,-10321000,-8.249706916764362
ENZ,2019-07-31,50379,USD,2019,FY,2019-11-26,2021-10-12,47351000.0,47476000.0,81170000.0,-57922000.0,23248000.0,-50440000.0,-44265000.0,-3175000.0,,-27192000,756000.0,1056000.0,-26436000,28925000.0,2489000,,2489000,,2489000,2489000,-25.75
ENZ,2020-07-31,50379,USD,2020,FY,2020-10-19,2022-10-14,47696000.0,47696000.0,76021000.0,-52251000.0,23770000.0,-54137000.0,-42960000.0,-4448000.0,,-30367000,1847000.0,454000.0,-28520000,,-28520000,,-28520000,,-28520000,-28520000,-66.88766519823788
EPZM,2016-12-31,138374,USD,2016,FY,2017-03-13,2017-03-13,57126000.0,57126000.0,8007000.0,,,-119833000.0,-28372000.0,-91461000.0,,-111826000,1614000.0,1531000.0,-110212000,,-110212000,0.0,-110212000,,-110212000,-110212000,-73.04114957544088
EPZM,2017-12-31,138374,USD,2017,FY,2018-03-13,2018-03-13,61471000.0,61471000.0,10000000.0,,,-146842000.0,-37181000.0,-109661000.0,,-136842000,2197000.0,2165000.0,-134645000,,-134645000,336000.0,-134309000,,-134309000,-134309000,-63.20646651270208
EPZM,2018-12-31,138374,USD,2018,FY,2019-02-26,2021-02-23,71864000.0,71864000.0,21700000.0,,,-149805000.0,-43972000.0,-105833000.0,,-128105000,4532000.0,4557000.0,-123573000,,-123573000,-57000.0,-123630000,,-123630000,-123630000,-28.111696291419793
EPZM,2019-12-31,138374,USD,2019,FY,2020-02-27,2022-03-01,89891000.0,89891000.0,23800000.0,,,-200942000.0,-68303000.0,-132639000.0,,-177142000,7097000.0,7110000.0,-170045000,-192000.0,-170237000,-58000.0,-170295000,,-170295000,-173235000,-24.914486638537273
EQ,2019-12-31,1841921,USD,2019,FY,2020-03-26,2021-03-24,,,,,,-26727000.0,-9087000.0,-17640000.0,,-26727000,1127000.0,1112000.0,-25600000,,-25600000,,-25600000,,-25600000,-25600000,-24.03507194244604
EQRX,2020-12-31,1334626,USD,2020,FY,2021-03-23,2022-03-23,487632985.0,487632985.0,,,,-250080000.0,-25689000.0,-224391000.0,,-250080000,97000.0,97000.0,-249983000,,-249983000,,-249983000,,-249983000,-249983000,-2578.144329896907
ESP,2021-06-30,230667,USD,2021,FY,2021-09-24,2022-09-22,2406345.0,2406345.0,27734598.0,-24374991.0,3359607.0,-3785746.0,-3785746.0,,,-426139,57942.0,21376.0,-368197,,-368197,186654.0,-181543,,-181543,-181543,-19.93539483532934
EVFM,2017-12-31,988215,USD,2017,FY,2018-02-26,2019-03-01,998796.0,998796.0,,,,-35687000.0,-12148000.0,-23539000.0,,-35687000,82000.0,128000.0,-35605000,-69697000.0,-105302000,-3000.0,-105305000,,-105305000,-109322000,-278.8046875
EVFM,2018-12-31,988215,USD,2018,FY,2019-03-01,2020-03-12,1460768.0,1460768.0,,,,-77642000.0,-34227000.0,-43415000.0,,-77642000,-18000.0,127000.0,-77660000,-48050000.0,-125710000,-2000.0,-125712000,,-125712000,-125778000,-611.3543307086615
EVFM,2019-12-31,988215,USD,2019,FY,2020-03-12,2021-03-04,2683242.0,2683242.0,,,,-52742000.0,-30512000.0,-22230000.0,,-52742000,759000.0,458000.0,-51983000,-28046000.0,-80029000,-4000.0,-80033000,,-80033000,-80033000,-115.15720524017468
EVFM,2020-12-31,988215,USD,2020,FY,2021-03-04,2022-03-10,4479390.0,4479390.0,446000.0,-468000.0,-22000.0,-103602000.0,-86552000.0,-17050000.0,,-103624000,-1913000.0,169000.0,-105537000,-36768000.0,-142305000,-4000.0,-142309000,,-142309000,-142309000,-613.1597633136095
EVH,2016-12-31,146041,USD,2016,FY,2017-03-03,2018-03-01,45031000.0,45031000.0,254188000.0,-155177000.0,99011000.0,-177916000.0,-160692000.0,,-17224000.0,-78905000,-118000.0,723000.0,-79023000,-158510000.0,-237533000,10755000.0,-226778000,,-159742000,-159742000,-109.13554633471647
