Ticker,Report Date,SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Zombie Indicator
ARLO,2020-12-31,1251690,USD,2020,FY,2021-02-26,2022-03-02,83809000.0,83809000.0,357154000.0,-301765000.0,55389000.0,-160297000.0,-100160000.0,-60137000.0,,-104908000,4238000.0,802000.0,-100670000,44000.0,-100626000,-625000.0,-101251000,,-101251000,-101251000,-130.8079800498753
ARNA,2018-12-31,826177,USD,2018,FY,2019-02-28,2021-02-23,47041000.0,47041000.0,17970000.0,,,-160286000.0,-45257000.0,-115029000.0,,-142316000,5949000.0,3077000.0,-136367000,-2467000.0,-138834000,110265000.0,-28569000,-830000.0,-29399000,-29399000,-46.251543711407216
ARNA,2020-12-31,826177,USD,2020,FY,2021-02-23,2022-02-23,54767000.0,54767000.0,319000.0,,,-426958000.0,-103218000.0,-323740000.0,,-426639000,8950000.0,6529000.0,-417689000,12955000.0,-404734000,,-404734000,,-404734000,-404734000,-65.34522897840404
ARPO,2018-12-31,1841892,USD,2018,FY,2019-03-07,2020-03-16,,,20163824.0,,,-31338674.0,-13485918.0,-17852756.0,,-11174850,778215.0,778215.0,-10396635,,-10396635,,-10396635,,-10396635,-10396635,-14.359592143559299
ARPO,2019-12-31,1841892,USD,2019,FY,2020-03-16,2021-03-11,,,142729.0,,,-22580587.0,-9756185.0,-12824402.0,,-22437858,1030839.0,1030839.0,-21407019,-1863495.0,-23270514,,-23270514,,-23270514,-23270514,-21.766597887739987
ARQL,2016-12-31,795983,USD,2016,FY,2017-03-09,2018-03-05,69714000.0,69714000.0,4709000.0,,,-27605000.0,-7563000.0,-20042000.0,,-22896000,178000.0,178000.0,-22718000,,-22718000,0.0,-22718000,,-22718000,-22718000,-128.62921348314606
ARVN,2017-12-31,947146,USD,2017,FY,2018-02-14,2019-03-26,1897544.0,1897544.0,7578876.0,,,-32339143.0,-3546241.0,-28792902.0,,-24760267,711061.0,151031.0,-24049206,,-24049206,,-24049206,,-24049206,-28619637,-163.94162125656322
ARVN,2018-12-31,947146,USD,2018,FY,2019-02-05,2021-03-01,9422799.0,9422799.0,14323920.0,,,-58125998.0,-12932168.0,-45193830.0,,-43802078,2321612.0,2412661.0,-41480466,,-41480466,,-41480466,,-41480466,-239847222,-18.15509016807583
ARVN,2019-12-31,947146,USD,2019,FY,2020-03-16,2022-02-28,32927697.0,32927697.0,43000000.0,,,-94500000.0,-27300000.0,-67200000.0,,-51500000,5900000.0,4500000.0,-45600000,-24700000.0,-70300000,,-70300000,,-70300000,-70300000,-11.444444444444445
ARVN,2020-12-31,947146,USD,2020,FY,2021-03-01,2022-02-28,39534497.0,39534497.0,21800000.0,,,-146700000.0,-38300000.0,-108400000.0,,-124900000,5600000.0,3500000.0,-119300000,,-119300000,,-119300000,,-119300000,-119300000,-35.68571428571428
